,xlogp3,apol,bpol,nHBAcc,nHBDon,TopoPSA,ATSc1,ATSm1,ATSp1,SC.3,VC.3,SPC.4,VPC.4,SP.0,VP.0,ECCEN,fragC,Kier1,topoShape,VABC,VAdjMat,WTPT.1,WPATH,WPOL,Zagreb,AMR,nAtom,nB,MW,XLogP,BCUTp.1h
xlogp3,1.0,0.1630047719111767,-0.020493827763031196,-0.423704128042928,-0.4433416839438846,-0.47232103186254626,-0.27727793657078786,-0.06098207389183347,0.22202270609138858,-0.17762433110112977,-0.004318192555315944,-0.06289606306543981,0.05706562544550282,0.039503126559697774,0.13699153113011064,0.04155128218371542,0.09381993513578557,-0.022870801097010476,-0.17645200285399448,0.0771692792437017,0.1514296622704654,0.12733186863484566,-0.039391367264088505,0.10606283347198571,0.12861305372067644,0.2688944564404534,0.08625148828721237,0.14149109510079155,0.029350246138717347,0.852275952023019,0.2693973593445251
apol,0.1630047719111767,1.0,0.9266329226228285,0.6197103475810047,0.5560624066269552,0.6748269004471736,0.7828004455321007,0.9348685238736009,0.9629093842466466,0.8220775071774887,0.8447605896315954,0.9149030123603368,0.8938689997029006,0.9781690684223796,0.9953171485422755,0.9307058058974677,0.86973427281061,0.9642793493515417,0.28561461326017595,0.9909468119742887,0.938025077896727,0.9833347412047092,0.8600205898959383,0.9666986792451525,0.9730249433596527,0.976778103110616,0.9922916898474123,0.9798239583603496,0.9753285334793355,0.09458335498207202,0.7924669962158406
bpol,-0.020493827763031196,0.9266329226228285,1.0,0.7508612116250004,0.5337812734685465,0.7410228888153334,0.8725722974431623,0.9395937603775631,0.842463122777876,0.8720371905884547,0.8162856815449614,0.863829545284298,0.8256943672582232,0.9253341653070767,0.9320477948199795,0.8918225570025526,0.7936534191202778,0.9288787054059319,0.26750435097082814,0.9330586643599024,0.8517506916038613,0.9084546282301345,0.8494711095867904,0.8819117106306721,0.8975676124765094,0.8518283246063156,0.9391137563238432,0.9012470802966417,0.9369194004932871,-0.055592621930418,0.6630647044191812
nHBAcc,-0.423704128042928,0.6197103475810047,0.7508612116250004,1.0,0.7170343794400685,0.9061456127517726,0.917636390952146,0.7924572587625729,0.5530910459904755,0.788224906977037,0.6086042340200291,0.7366261534978927,0.5881725291854428,0.7314560219982321,0.6604717613992735,0.6994833128396222,0.5620310060134313,0.7431822892816154,0.16375674697293835,0.6718599771777198,0.653586171437985,0.6906534574787337,0.6807659268771952,0.6641103284576415,0.6904846518346189,0.5308462745718299,0.6549800963728623,0.6840009568755365,0.7465224348140699,-0.46807419449948773,0.38145308567159186
nHBDon,-0.4433416839438846,0.5560624066269552,0.5337812734685465,0.7170343794400685,1.0,0.867829020445748,0.7448462079456919,0.6779423507657214,0.48415753202099393,0.6416400522634798,0.5479460043714469,0.7110582881387746,0.5114536608716672,0.6583907380342231,0.569946124271356,0.6201122723471131,0.4929992612607449,0.680716178911103,0.3340623373091889,0.6095736498512148,0.5650710541313051,0.6056408504665252,0.6110280283348731,0.611824549230567,0.599435318481277,0.5084508699025514,0.6073607245295997,0.5958275010291673,0.6576864300203781,-0.47978398385393883,0.288995354087374
TopoPSA,-0.47232103186254626,0.6748269004471736,0.7410228888153334,0.9061456127517726,0.867829020445748,1.0,0.920187897063574,0.8567113460226891,0.603032028704179,0.852760802654579,0.6566358878907292,0.812457205568376,0.6248900173536324,0.7932403892223951,0.7092901676372948,0.7659800286669446,0.634639377729162,0.8181992500444121,0.31006290339455517,0.7370760873664448,0.6763955951837248,0.7362075677203505,0.7641764037237123,0.7243425860289502,0.7316706118023915,0.6070110424630536,0.7103267750487317,0.7253416354739454,0.8030912155494141,-0.5234955037167198,0.39664316808239225
ATSc1,-0.27727793657078786,0.7828004455321007,0.8725722974431623,0.917636390952146,0.7448462079456919,0.920187897063574,1.0,0.9190662877409961,0.7130345379551807,0.8936216136726925,0.7337761808658398,0.8661103432764098,0.7203945471123583,0.8770527057992841,0.8185215026747862,0.8262570803742645,0.7027685760831471,0.8890863952043775,0.2076790342110571,0.8356313077324681,0.7673002973458859,0.8351394431692072,0.8163192147384466,0.8246538048080878,0.8308262202551642,0.7127401026133156,0.8133281460883699,0.8264818596257408,0.8867102626855655,-0.3082535442522718,0.48907306799640227
ATSm1,-0.06098207389183347,0.9348685238736009,0.9395937603775631,0.7924572587625729,0.6779423507657214,0.8567113460226891,0.9190662877409961,1.0,0.8878561512173152,0.9351242292751212,0.830046273211789,0.9427412925607909,0.8501603815654168,0.9757942113753182,0.9520413393789713,0.9397966655344413,0.8528861370132585,0.9698077903848142,0.28741689289884637,0.9543047455604005,0.8991750130611893,0.9601852784763258,0.8959140769873827,0.9427932610786783,0.9565470669967928,0.901917664303268,0.9326665241405612,0.955354313131212,0.9860773728029204,-0.1168321846937811,0.6952308736150796
ATSp1,0.22202270609138858,0.9629093842466466,0.842463122777876,0.5530910459904755,0.48415753202099393,0.603032028704179,0.7130345379551807,0.8878561512173152,1.0,0.7771630099576916,0.8391470357815909,0.910707591808022,0.9339924295069517,0.941808758972691,0.9641779867195701,0.8799180909742603,0.905342407162182,0.9037075460970188,0.21435098428170293,0.9470493315295022,0.9152498668961269,0.9677289247460639,0.8018420040633613,0.9782848267110636,0.9713335568749082,0.9678996073860431,0.9388635728437145,0.9711403961785374,0.9384383885640616,0.18633676219031092,0.8513306999857255
SC.3,-0.17762433110112977,0.8220775071774887,0.8720371905884547,0.788224906977037,0.6416400522634798,0.852760802654579,0.8936216136726925,0.9351242292751212,0.7771630099576916,1.0,0.8708336039438762,0.8962567801300073,0.8069712676980138,0.8933966636502224,0.8489394309141399,0.8502382940699197,0.7770463889466579,0.8943659187937665,0.31552446609679524,0.8594840085717526,0.7971281185929443,0.85938416501042,0.8279253998603997,0.8489798020593113,0.8648728049572271,0.7832194645015946,0.8248666707589082,0.8538142161478518,0.9010894010390555,-0.22241092174745278,0.6050623872061246
VC.3,-0.004318192555315944,0.8447605896315954,0.8162856815449614,0.6086042340200291,0.5479460043714469,0.6566358878907292,0.7337761808658398,0.830046273211789,0.8391470357815909,0.8708336039438762,1.0,0.9027214595182935,0.9255372586497465,0.85425520233489,0.8541459675196748,0.7859451012510699,0.7957183560083556,0.8362621539452394,0.29893044162302035,0.8514925936540652,0.7886612178901017,0.8422972013026259,0.7478529239297714,0.8655718939350474,0.8546000480781708,0.8122788101911,0.8512858536296309,0.8420400853925678,0.8504134013542806,-0.02811667844587199,0.7394626668607579
SPC.4,-0.06289606306543981,0.9149030123603368,0.863829545284298,0.7366261534978927,0.7110582881387746,0.812457205568376,0.8661103432764098,0.9427412925607909,0.910707591808022,0.8962567801300073,0.9027214595182935,1.0,0.9338304468551479,0.9545878411344765,0.9309974236166126,0.8931467373466019,0.8770745767530808,0.9327559163989129,0.2458948551784372,0.9297602829974905,0.8872732192249224,0.9454645405123816,0.8509943648147851,0.966803430094495,0.9549492650781001,0.8922025142172071,0.9174912153465787,0.9454800863948902,0.9549971745211053,-0.10056140509151154,0.7504264643794486
VPC.4,0.05706562544550282,0.8938689997029006,0.8256943672582232,0.5881725291854428,0.5114536608716672,0.6248900173536324,0.7203945471123583,0.8501603815654168,0.9339924295069517,0.8069712676980138,0.9255372586497465,0.9338304468551479,1.0,0.8845842864597093,0.8959152371528808,0.8115257510335976,0.8866290191223192,0.8462685502587128,0.22920636048328877,0.8853888111004453,0.840547739330105,0.8980427414873394,0.7552759097586295,0.9375390325832124,0.9152019779754785,0.8694050365973299,0.8877623655935735,0.9031328595659874,0.8852466955865194,0.05734221429907793,0.8167932178869047
SP.0,0.039503126559697774,0.9781690684223796,0.9253341653070767,0.7314560219982321,0.6583907380342231,0.7932403892223951,0.8770527057992841,0.9757942113753182,0.941808758972691,0.8933966636502224,0.85425520233489,0.9545878411344765,0.8845842864597093,1.0,0.9887405000146836,0.9459203332555486,0.8661865487311109,0.9915251027111436,0.28260189811642117,0.9905161493925124,0.9404117637206955,0.9912160676195528,0.8874782307693004,0.9775983015635038,0.9836658123140595,0.9539107759757856,0.9764409336268833,0.9863932655521309,0.9975452107859215,-0.03126349841844316,0.7510853655275631
VP.0,0.13699153113011064,0.9953171485422755,0.9320477948199795,0.6604717613992735,0.569946124271356,0.7092901676372948,0.8185215026747862,0.9520413393789713,0.9641779867195701,0.8489394309141399,0.8541459675196748,0.9309974236166126,0.8959152371528808,0.9887405000146836,1.0,0.9353020704435554,0.8710147596830016,0.975102547144598,0.26745966967437707,0.993620552303897,0.9425813680199135,0.9902525065767612,0.8688231758430367,0.9761415795594994,0.9816389407716475,0.9734185573046352,0.9879300981424428,0.9866546743077069,0.9860087716321967,0.0707690116386831,0.7948065784424062
ECCEN,0.04155128218371542,0.9307058058974677,0.8918225570025526,0.6994833128396222,0.6201122723471131,0.7659800286669446,0.8262570803742645,0.9397966655344413,0.8799180909742603,0.8502382940699197,0.7859451012510699,0.8931467373466019,0.8115257510335976,0.9459203332555486,0.9353020704435554,1.0,0.9155129860700879,0.9346134720529211,0.21945658921237093,0.9316018021047205,0.8258082220158244,0.9447994340839148,0.9766825862972143,0.912770419796921,0.9372866795188914,0.9086659838661032,0.9209406168520664,0.9413509632775264,0.9510050150662912,-0.04477387268776903,0.5924782956223885
fragC,0.09381993513578557,0.86973427281061,0.7936534191202778,0.5620310060134313,0.4929992612607449,0.634639377729162,0.7027685760831471,0.8528861370132585,0.905342407162182,0.7770463889466579,0.7957183560083556,0.8770745767530808,0.8866290191223192,0.8661865487311109,0.8710147596830016,0.9155129860700879,1.0,0.8231907173856223,0.1544058482799427,0.8530841765089868,0.7519314085181227,0.8932080418087927,0.9018537734687558,0.9044057032713649,0.9076139520243631,0.8636574032933831,0.8457353091905133,0.8997908886932428,0.8754406208241714,0.08474714684201098,0.6345627004389544
Kier1,-0.022870801097010476,0.9642793493515417,0.9288787054059319,0.7431822892816154,0.680716178911103,0.8181992500444121,0.8890863952043775,0.9698077903848142,0.9037075460970188,0.8943659187937665,0.8362621539452394,0.9327559163989129,0.8462685502587128,0.9915251027111436,0.975102547144598,0.9346134720529211,0.8231907173856223,1.0,0.3259586655157767,0.9873594959152414,0.9189800401022751,0.967545531707427,0.8841433192220275,0.9487984548183793,0.9523425015928856,0.9274565276196621,0.9730502283155387,0.9581174532652177,0.986179082982134,-0.10396715426516526,0.7057196602769483
topoShape,-0.17645200285399448,0.28561461326017595,0.26750435097082814,0.16375674697293835,0.3340623373091889,0.31006290339455517,0.2076790342110571,0.28741689289884637,0.21435098428170293,0.31552446609679524,0.29893044162302035,0.2458948551784372,0.22920636048328877,0.28260189811642117,0.26745966967437707,0.21945658921237093,0.1544058482799427,0.3259586655157767,1.0,0.3074338225759818,0.2934705030534017,0.23841132012514316,0.18164244325188642,0.2278337700847572,0.21865226336425242,0.2459487018740046,0.30907182591189253,0.22446434375837576,0.2756518902563504,-0.21837389781305833,0.23026778018141622
VABC,0.0771692792437017,0.9909468119742887,0.9330586643599024,0.6718599771777198,0.6095736498512148,0.7370760873664448,0.8356313077324681,0.9543047455604005,0.9470493315295022,0.8594840085717526,0.8514925936540652,0.9297602829974905,0.8853888111004453,0.9905161493925124,0.993620552303897,0.9316018021047205,0.8530841765089868,0.9873594959152414,0.3074338225759818,1.0,0.933820735728463,0.9813617506567787,0.8699493681133924,0.9678427734795609,0.9686992042799801,0.9584142485470214,0.9923646635980513,0.9748633465312231,0.985573793037773,0.0164062128315657,0.7642731743714266
VAdjMat,0.1514296622704654,0.938025077896727,0.8517506916038613,0.653586171437985,0.5650710541313051,0.6763955951837248,0.7673002973458859,0.8991750130611893,0.9152498668961269,0.7971281185929443,0.7886612178901017,0.8872732192249224,0.840547739330105,0.9404117637206955,0.9425813680199135,0.8258082220158244,0.7519314085181227,0.9189800401022751,0.2934705030534017,0.933820735728463,1.0,0.9495385376666159,0.714806984423124,0.928342907147352,0.9439136784936516,0.9310848226502405,0.9228926891083918,0.9485477177719682,0.9365937994755283,0.07390923950726697,0.8680469353091403
WTPT.1,0.12733186863484566,0.9833347412047092,0.9084546282301345,0.6906534574787337,0.6056408504665252,0.7362075677203505,0.8351394431692072,0.9601852784763258,0.9677289247460639,0.85938416501042,0.8422972013026259,0.9454645405123816,0.8980427414873394,0.9912160676195528,0.9902525065767612,0.9447994340839148,0.8932080418087927,0.967545531707427,0.23841132012514316,0.9813617506567787,0.9495385376666159,1.0,0.8757858047279209,0.9864513247586,0.9971526010382351,0.9720532562034497,0.9698089169335492,0.999331004336855,0.9911672834785222,0.06186373009665794,0.7836853298562575
WPATH,-0.039391367264088505,0.8600205898959383,0.8494711095867904,0.6807659268771952,0.6110280283348731,0.7641764037237123,0.8163192147384466,0.8959140769873827,0.8018420040633613,0.8279253998603997,0.7478529239297714,0.8509943648147851,0.7552759097586295,0.8874782307693004,0.8688231758430367,0.9766825862972143,0.9018537734687558,0.8841433192220275,0.18164244325188642,0.8699493681133924,0.714806984423124,0.8757858047279209,1.0,0.8504160979105213,0.8688230638831125,0.8309780285062653,0.8579847303164073,0.8707815691254187,0.893879615533437,-0.10651198631212361,0.4751758174122884
WPOL,0.10606283347198571,0.9666986792451525,0.8819117106306721,0.6641103284576415,0.611824549230567,0.7243425860289502,0.8246538048080878,0.9427932610786783,0.9782848267110636,0.8489798020593113,0.8655718939350474,0.966803430094495,0.9375390325832124,0.9775983015635038,0.9761415795594994,0.912770419796921,0.9044057032713649,0.9487984548183793,0.2278337700847572,0.9678427734795609,0.928342907147352,0.9864513247586,0.8504160979105213,1.0,0.9900651288085639,0.9581637008156578,0.9561478050058486,0.9873665030708622,0.9760766452401625,0.06521160278094487,0.8041248326863943
Zagreb,0.12861305372067644,0.9730249433596527,0.8975676124765094,0.6904846518346189,0.599435318481277,0.7316706118023915,0.8308262202551642,0.9565470669967928,0.9713335568749082,0.8648728049572271,0.8546000480781708,0.9549492650781001,0.9152019779754785,0.9836658123140595,0.9816389407716475,0.9372866795188914,0.9076139520243631,0.9523425015928856,0.21865226336425242,0.9686992042799801,0.9439136784936516,0.9971526010382351,0.8688230638831125,0.9900651288085639,1.0,0.9656192754892546,0.9561760942486616,0.9988178606098582,0.985637564834519,0.07355160184695773,0.7934534351834897
AMR,0.2688944564404534,0.976778103110616,0.8518283246063156,0.5308462745718299,0.5084508699025514,0.6070110424630536,0.7127401026133156,0.901917664303268,0.9678996073860431,0.7832194645015946,0.8122788101911,0.8922025142172071,0.8694050365973299,0.9539107759757856,0.9734185573046352,0.9086659838661032,0.8636574032933831,0.9274565276196621,0.2459487018740046,0.9584142485470214,0.9310848226502405,0.9720532562034497,0.8309780285062653,0.9581637008156578,0.9656192754892546,1.0,0.9490307626985254,0.9717271778768785,0.948460574102931,0.17218064269697167,0.8167578939259176
nAtom,0.08625148828721237,0.9922916898474123,0.9391137563238432,0.6549800963728623,0.6073607245295997,0.7103267750487317,0.8133281460883699,0.9326665241405612,0.9388635728437145,0.8248666707589082,0.8512858536296309,0.9174912153465787,0.8877623655935735,0.9764409336268833,0.9879300981424428,0.9209406168520664,0.8457353091905133,0.9730502283155387,0.30907182591189253,0.9923646635980513,0.9228926891083918,0.9698089169335492,0.8579847303164073,0.9561478050058486,0.9561760942486616,0.9490307626985254,1.0,0.96354832804909,0.9719060246552222,0.02854907090612058,0.7587595815090227
nB,0.14149109510079155,0.9798239583603496,0.9012470802966417,0.6840009568755365,0.5958275010291673,0.7253416354739454,0.8264818596257408,0.955354313131212,0.9711403961785374,0.8538142161478518,0.8420400853925678,0.9454800863948902,0.9031328595659874,0.9863932655521309,0.9866546743077069,0.9413509632775264,0.8997908886932428,0.9581174532652177,0.22446434375837576,0.9748633465312231,0.9485477177719682,0.999331004336855,0.8707815691254187,0.9873665030708622,0.9988178606098582,0.9717271778768785,0.96354832804909,1.0,0.9873003458992315,0.07963744217713936,0.790319473804484
MW,0.029350246138717347,0.9753285334793355,0.9369194004932871,0.7465224348140699,0.6576864300203781,0.8030912155494141,0.8867102626855655,0.9860773728029204,0.9384383885640616,0.9010894010390555,0.8504134013542806,0.9549971745211053,0.8852466955865194,0.9975452107859215,0.9860087716321967,0.9510050150662912,0.8754406208241714,0.986179082982134,0.2756518902563504,0.985573793037773,0.9365937994755283,0.9911672834785222,0.893879615533437,0.9760766452401625,0.985637564834519,0.948460574102931,0.9719060246552222,0.9873003458992315,1.0,-0.03316187851308744,0.7461733705659173
XLogP,0.852275952023019,0.09458335498207202,-0.055592621930418,-0.46807419449948773,-0.47978398385393883,-0.5234955037167198,-0.3082535442522718,-0.1168321846937811,0.18633676219031092,-0.22241092174745278,-0.02811667844587199,-0.10056140509151154,0.05734221429907793,-0.03126349841844316,0.0707690116386831,-0.04477387268776903,0.08474714684201098,-0.10396715426516526,-0.21837389781305833,0.0164062128315657,0.07390923950726697,0.06186373009665794,-0.10651198631212361,0.06521160278094487,0.07355160184695773,0.17218064269697167,0.02854907090612058,0.07963744217713936,-0.03316187851308744,1.0,0.25713555472912786
BCUTp.1h,0.2693973593445251,0.7924669962158406,0.6630647044191812,0.38145308567159186,0.288995354087374,0.39664316808239225,0.48907306799640227,0.6952308736150796,0.8513306999857255,0.6050623872061246,0.7394626668607579,0.7504264643794486,0.8167932178869047,0.7510853655275631,0.7948065784424062,0.5924782956223885,0.6345627004389544,0.7057196602769483,0.23026778018141622,0.7642731743714266,0.8680469353091403,0.7836853298562575,0.4751758174122884,0.8041248326863943,0.7934534351834897,0.8167578939259176,0.7587595815090227,0.790319473804484,0.7461733705659173,0.25713555472912786,1.0
